0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
0	0
0	1
1.366025404	0.5
